**UID userName password realName birthyear birthmonth birthday  workYear workMonth workDay level right[] %Projects**
10001 %99% 99 %null% -1 -1 -1 -1 -1 -1 -1 0 0 0 0 1 
10002 %123% 123 %123% 1992 10 6 2012 2 12 10 0 0 1 0 0 
10003 %wumark% 123 %wuyu% 2012 5 2 2012 5 14 7 0 0 0 1 0 
10004 %huangshaohan% 123 %123% 2012 5 1 2012 5 2 3 1 0 0 0 0 
10005 %tonghao1992% 123 %123% 2012 5 9 2012 5 9 10 1 0 0 0 0 
10006 %111% 111 %123% 2012 5 3 2012 5 2 1 1 1 0 0 0 
10007 %1% 1 %1% 2012 5 1 2012 5 4 1 1 1 0 0 0 
10008 %qwer% qwer %qwer% 2012 5 6 2012 5 25 8 1 1 0 0 0 
10009 %asdf% asdf %asdf% 2012 4 30 2012 6 7 1 1 0 0 0 0 
10010 %jjj% jjj %jjj% 2012 5 1 2012 5 2 1 1 0 0 0 0 
10011 %12% 12 %12% 2012 5 1 2012 5 24 4 1 0 0 0 0 
10012 %wyt% 123 %吴以婷% 1990 10 18 2012 12 5 10 1 1 0 0 0 
